feature	score	direction	p_value	q_value	n_permutations	at_permutation_floor
ENOG410ZHQ3	0.8634307116006928	endpoint	0.0018699813001869	0.2388881142635114	100000	False
ENOG410ZTTH	0.8672899506890038	endpoint	0.0018799812001879	0.2388881142635114	100000	False
P_AQ.998	0.883496473595624	baseline	0.0018899811001889	0.3207735569703127	100000	False
ENOG410YFSH	0.8558978201107601	endpoint	0.0018999810001899	0.2388881142635114	100000	False
P_LP.2483	0.8611735657002063	endpoint	0.0019399806001939	0.3207735569703127	100000	False
ENOG4111P6W	0.8707343237795746	endpoint	0.0019399806001939	0.2388881142635114	100000	False
ENOG41100V7	0.8823098580888459	endpoint	0.0019399806001939	0.2388881142635114	100000	False
ENOG41124PE	0.8884023995390721	endpoint	0.0019499805001949	0.2388881142635114	100000	False
P_LP.1259	0.8862764329104034	baseline	0.0019499805001949	0.3207735569703127	100000	False
K06894	0.8908745948811804	baseline	0.0019499805001949	0.2388881142635114	100000	False
ENOG410YA6E	0.8647757106163768	endpoint	0.0019499805001949	0.2388881142635114	100000	False
N_LP.2378	0.8640073107991288	baseline	0.0019799802001979	0.3207735569703127	100000	False
P_LP.1310	0.8908168175582988	baseline	0.0019999800001999	0.3207735569703127	100000	False
P_LP.277	0.8833074508138241	endpoint	0.0019999800001999	0.3207735569703127	100000	False
K00855	0.8920138279988573	baseline	0.0020099799002009	0.2388881142635114	100000	False
ENOG410ZW9J	0.8817162227326693	endpoint	0.0020399796002039	0.2388881142635114	100000	False
P_AQ.54	0.868195733844668	endpoint	0.0020399796002039	0.3207735569703127	100000	False
ENOG410ZG9V	0.8889706105902649	endpoint	0.0020499795002049	0.2388881142635114	100000	False
K15986	0.8867628183885259	endpoint	0.0020599794002059	0.2388881142635114	100000	False
PF19727	0.8824443141572041	endpoint	0.0020699793002069	0.2388881142635114	100000	False
ENOG4111Q8R	0.8771369754188111	baseline	0.0020799792002079	0.2388881142635114	100000	False
ENOG411247I	0.8959062961649344	baseline	0.0020899791002089	0.2388881142635114	100000	False
ENOG410YECY	0.8920302472522103	baseline	0.0021099789002109	0.2388881142635114	100000	False
COG1419	0.8693405856586678	endpoint	0.0021099789002109	0.2388881142635114	100000	False
ENOG4111NSJ	0.875779734938566	endpoint	0.0021099789002109	0.2388881142635114	100000	False
ENOG410ZJ6Y	0.8546636150787019	endpoint	0.0021299787002129	0.2388881142635114	100000	False
