	score	direction	p_value	q_value	n_permutations	at_permutation_floor
PF09564	0.8401485967529673	endpoint	0.003149968500314997	0.2501474148438432	100000	False
PF09565	0.6802511111596526	endpoint	0.17558824411755883	0.5989940900751024	100000	False
PF09586	0.5849199225016896	endpoint	0.5405645943540565	0.8355964003659718	100000	False
PF09587	0.547200899989854	baseline	0.7584324156758433	0.9282879933091746	100000	False
PF09588	0.5758867640450067	endpoint	0.6047939520604794	0.867578382494767	100000	False
PF09601	0.715903558839645	baseline	0.11783882161178388	0.533963184089336	100000	False
PF09603	0.5156762332539149	endpoint	0.9132308676913231	0.9752661713603527	100000	False
PF09605	0.6429734344781383	endpoint	0.2902170978290217	0.6939867790708588	100000	False
PF09617	0.524524098042055	endpoint	0.8618413815861842	0.961660285133146	100000	False
PF09639	0.7329100636617669	endpoint	0.06694933050669494	0.46202412469802423	100000	False
PF09640	0.60394873112561	baseline	0.4706552934470655	0.8027789052238645	100000	False
PF09660	0.6657778481647134	baseline	0.24643753562464377	0.6610379243396985	100000	False
PF09661	0.5860036500452498	endpoint	0.5512544874551254	0.8408806981281418	100000	False
PF09669	0.6362439111578582	endpoint	0.33661663383366164	0.7283397819160681	100000	False
PF09674	0.5623444519536023	baseline	0.6568634313656864	0.889235004486706	100000	False
PF09681	0.6340379344053274	endpoint	0.34148658513414865	0.7306294441137989	100000	False
PF09684	0.5343333729146011	endpoint	0.8152818471815282	0.9466733426995064	100000	False
PF09693	0.5249445943030999	endpoint	0.8684713152868472	0.9630474931425053	100000	False
PF09704	0.5577339638278492	endpoint	0.6553834461655383	0.8883523878580929	100000	False
PF09707	0.7156171387071948	endpoint	0.11382886171138289	0.5281475997876186	100000	False
PF09709	0.6551233646194836	endpoint	0.2579074209257907	0.6696550458275905	100000	False
PF09719	0.6589841889392992	endpoint	0.3175368246317537	0.7151851633671948	100000	False
PF09721	0.7058088124729927	baseline	0.19430805691943082	0.6154419388718211	100000	False
PF09723	0.6087676361263862	baseline	0.47272527274727255	0.8046807790141346	100000	False
PF09754	0.5913436798452291	baseline	0.5471045289547104	0.8389933427398398	100000	False
PF09768	0.5975196030995946	endpoint	0.46974530254697455	0.8026251641291202	100000	False
PF09818	0.7431705315478971	endpoint	0.0948790512094879	0.5067200188717988	100000	False
PF09819	0.6331480593911173	baseline	0.36839631603683964	0.744855244622628	100000	False
PF09820	0.8380168629578587	endpoint	0.014279857201427985	0.3131067020523633	100000	False
PF09821	0.6257330599142319	baseline	0.4107258927410726	0.7707740062938653	100000	False
PF09822	0.8224730593285542	endpoint	0.015539844601553984	0.3210667772256902	100000	False
PF09823	0.6836430396509237	endpoint	0.16541834581654183	0.5885555761272623	100000	False
PF09826	0.7324605746354474	endpoint	0.10713892861071389	0.5209388274911577	100000	False
PF09827	0.5298529460260061	endpoint	0.8313516864831352	0.9518965633145497	100000	False
PF09848	0.5176614596194058	baseline	0.8988810111898881	0.9704405313809573	100000	False
PF09861	0.6795335685350409	endpoint	0.20830791692083078	0.6284381197271788	100000	False
PF09862	0.6318945452263279	baseline	0.36109638903610963	0.7412196436594193	100000	False
PF09863	0.691037664858257	baseline	0.1840081599184008	0.6062633106744367	100000	False
PF09903	0.6156781863471347	endpoint	0.44632553674463255	0.7899275631100713	100000	False
PF09906	0.633529092512775	baseline	0.37091629083709166	0.7468967141164969	100000	False
PF09913	0.6648504288022193	endpoint	0.25945740542594575	0.6711007282762631	100000	False
PF09918	0.5015636403827551	baseline	0.991190088099119	0.9990057502237221	100000	False
PF09924	0.6879755121273786	baseline	0.23937760622393775	0.656099665873816	100000	False
PF09925	0.6975990245887862	endpoint	0.17067829321706782	0.5946335382217869	100000	False
PF09949	0.5014184182636509	baseline	0.99260007399926	0.9990057502237221	100000	False
PF09950	0.6432785750134011	endpoint	0.2803771962280377	0.6889121110223412	100000	False
PF09952	0.5818063986041463	endpoint	0.5494545054549455	0.839857284305836	100000	False
PF09960	0.5769209981954907	endpoint	0.6261237387626124	0.8752772253994184	100000	False
PF09967	0.8255607253096996	endpoint	0.026489735102648973	0.3696723884522007	100000	False
PF09972	0.5749391944241147	baseline	0.6037639623603764	0.866829628374597	100000	False
PF09979	0.6459071661269746	endpoint	0.3029769702302977	0.7048083493489019	100000	False
PF09982	0.6114465023485859	endpoint	0.45393546064539353	0.7937756658561916	100000	False
PF09983	0.5074509402496538	baseline	0.958320416795832	0.9891064626101528	100000	False
PF09984	0.7676588662787011	baseline	0.05171948280517195	0.4353949145830093	100000	False
PF09986	0.837657601278712	endpoint	0.012089879101208989	0.304050950718563	100000	False
PF09989	0.6379074389211519	endpoint	0.33993660063399367	0.729953904187979	100000	False
PF09991	0.579109009550705	baseline	0.5780042199578004	0.854463053808317	100000	False
PF09992	0.5356287970474123	endpoint	0.8199418005819942	0.947698922277928	100000	False
PF09994	0.7379826991192865	baseline	0.07689923100768992	0.4801350888796272	100000	False
PF10009	0.560039518819534	endpoint	0.6848631513684863	0.9002372323861265	100000	False
PF10011	0.7643281117715574	baseline	0.056339436605633945	0.4459245463307449	100000	False
PF10020	0.6391262373138638	baseline	0.3282167178328217	0.722564227470616	100000	False
PF10021	0.6354516126617925	endpoint	0.36198638013619866	0.7412196436594193	100000	False
PF10022	0.6934937433861937	endpoint	0.15911840881591183	0.5819763490146932	100000	False
PF10035	0.6351802705417687	endpoint	0.3526264737352626	0.7364955462972951	100000	False
PF10050	0.5639503724915187	baseline	0.6859831401685983	0.9006668331528355	100000	False
PF10060	0.7562324589996152	endpoint	0.08611913880861191	0.49364299703777154	100000	False
PF10076	0.6615345984291698	endpoint	0.23726762732372678	0.6543452292529042	100000	False
PF10080	0.6237246978512851	baseline	0.4173458265417346	0.7742498854689083	100000	False
PF10086	0.6764321818083207	endpoint	0.2147078529214708	0.6350938938527282	100000	False
PF10088	0.6232219360649429	endpoint	0.32907670923290766	0.7229792226101955	100000	False
PF10091	0.6204037497644992	endpoint	0.44824551754482456	0.7915692396051366	100000	False
PF10101	0.5354606228773997	endpoint	0.8145118548814512	0.9465614213340025	100000	False
PF10103	0.6061781641640107	baseline	0.5019749802501975	0.8191358343170735	100000	False
PF10105	0.7473236038582926	endpoint	0.09251907480925191	0.5037818175077391	100000	False
PF10106	0.799472409824308	baseline	0.04018959810401896	0.4148784390943969	100000	False
PF10111	0.5426222944274215	endpoint	0.7786722132778672	0.9359342183869813	100000	False
PF10112	0.8241792973542689	endpoint	0.017409825901740984	0.3303051499871742	100000	False
PF10117	0.5972676331771145	endpoint	0.4871151288487115	0.8112076642237097	100000	False
PF10119	0.6043542421067265	endpoint	0.45130548694513056	0.7924312037926721	100000	False
PF10123	0.5670936336896687	baseline	0.6391936080639193	0.8815696134536629	100000	False
PF10124	0.5725900925680271	endpoint	0.6181438185618143	0.8721784190632108	100000	False
PF10127	0.5347386296796094	baseline	0.8087119128808712	0.944749460736494	100000	False
PF10128	0.6411934150430164	baseline	0.33931660683393167	0.7299292452895122	100000	False
PF10131	0.6399702876997727	endpoint	0.3407065929340707	0.7303944612049982	100000	False
PF10140	0.5603500815866439	endpoint	0.6806331936680633	0.8986131220690583	100000	False
PF10143	0.7792908947273594	endpoint	0.03670963290367096	0.40703217103592637	100000	False
PF10145	0.5836211623876213	baseline	0.5894341056589434	0.8590527592757924	100000	False
PF10150	0.7007140681767904	baseline	0.18447815521844782	0.6067041318003809	100000	False
PF10282	0.7239365583487046	endpoint	0.08244917550824492	0.4891600944714787	100000	False
PF10298	0.5546770685299501	endpoint	0.7273527264727353	0.9179026990290179	100000	False
PF10369	0.636858489870728	endpoint	0.36349636503634963	0.7419260602505405	100000	False
PF10370	0.5030022180547469	endpoint	0.984690153098469	0.9975865157489736	100000	False
PF10371	0.7636943333911944	endpoint	0.04875951240487595	0.4316273882715719	100000	False
PF10385	0.554059886969964	endpoint	0.7100428995710043	0.9107389002911418	100000	False
PF10387	0.5091627143880728	baseline	0.950510494895051	0.9867165565301929	100000	False
PF10396	0.6284546773615011	endpoint	0.3920960790392096	0.7595255550400386	100000	False
PF10397	0.6680665295344562	endpoint	0.27424725752742474	0.6834313880709035	100000	False
PF10410	0.5867044016628183	baseline	0.5577444225557744	0.843565898887757	100000	False
PF10412	0.5839276018492433	endpoint	0.5604943950560495	0.8445595391887555	100000	False
PF10415	0.5134844441153092	baseline	0.928640713592864	0.9787949345650391	100000	False
PF10418	0.5333088132094674	endpoint	0.8263617363826362	0.9498224884138905	100000	False
PF10423	0.7858296596778128	baseline	0.042539574604253956	0.4198010279456881	100000	False
PF10431	0.529988853600004	endpoint	0.8406115938840611	0.9544152298778306	100000	False
PF10437	0.8185753762736236	baseline	0.01722982770172298	0.3303051499871742	100000	False
PF10438	0.6207461848385628	endpoint	0.4015659843401566	0.7651342925112299	100000	False
PF10458	0.5467955044070286	endpoint	0.7633723662763372	0.9296736589284353	100000	False
PF10459	0.5567863634603433	endpoint	0.7196528034719653	0.9146281302445892	100000	False
PF10502	0.6440444439409875	endpoint	0.34285657143428566	0.7317184173180185	100000	False
PF10509	0.6832915820397291	endpoint	0.1997980020199798	0.6215816198002403	100000	False
PF10531	0.791258812850291	endpoint	0.04898951010489895	0.4316273882715719	100000	False
PF10543	0.7251401912725574	endpoint	0.11462885371146289	0.5294124905822526	100000	False
PF10566	0.6707843256027767	baseline	0.2209377906220938	0.6405573010301211	100000	False
PF10588	0.6416767403133992	endpoint	0.33333666663333367	0.7260458708544227	100000	False
PF10589	0.5664602260140325	baseline	0.6372636273637263	0.8800134256904979	100000	False
PF10592	0.645963302237568	endpoint	0.25064749352506477	0.6649879603584545	100000	False
PF10593	0.709149946945559	endpoint	0.12196878031219688	0.5374667172749761	100000	False
PF10609	0.515835951540098	baseline	0.9099309006909931	0.974280426921655	100000	False
PF10611	0.562066983430277	baseline	0.7023129768702313	0.9074872504195607	100000	False
PF10626	0.596894509645412	endpoint	0.5000249997500025	0.8179221660689588	100000	False
PF10634	0.5747880566512155	baseline	0.6208237917620824	0.8727182403147095	100000	False
PF10646	0.778239484189084	endpoint	0.04509954900450996	0.42746847268951305	100000	False
PF10662	0.6537106004119468	endpoint	0.26819731802681973	0.6774260265696098	100000	False
PF10672	0.5930405415515742	baseline	0.5487545124548755	0.839540739674335	100000	False
PF10728	0.7255574642711096	endpoint	0.12454875451245488	0.5407695476958053	100000	False
PF10754	0.8520803819203554	baseline	0.00881991180088199	0.2898856588357194	100000	False
PF10758	0.5768211420293886	endpoint	0.6146138538614614	0.8710565569275666	100000	False
PF10797	0.5406329362457192	baseline	0.7609023909760902	0.9288647907615384	100000	False
PF10825	0.6496573112551951	endpoint	0.27837721622783773	0.6883299023116528	100000	False
PF10844	0.5806132881373236	endpoint	0.5523444765552344	0.8410653944027878	100000	False
PF10902	0.7010463131039257	baseline	0.15576844231557685	0.5782920396602486	100000	False
PF10908	0.5553039744013704	baseline	0.6967630323696763	0.9052604676089013	100000	False
PF10923	0.5772897155739081	endpoint	0.5652443475565244	0.8478617432916901	100000	False
PF10926	0.6131812324773463	endpoint	0.4669253307466925	0.8003561596667418	100000	False
PF10933	0.5258560481269909	endpoint	0.8584714152858471	0.9604166579023865	100000	False
PF10934	0.5267871942269304	endpoint	0.8384416155838441	0.9536905973177331	100000	False
PF10938	0.6812193704893434	baseline	0.2097179028209718	0.6298933237082723	100000	False
PF10951	0.751271413109436	baseline	0.0920190798092019	0.5037818175077391	100000	False
PF10988	0.546958574853758	baseline	0.7467225327746723	0.9233339310890013	100000	False
PF10991	0.6819700076536745	endpoint	0.18261817381826181	0.6047299340635015	100000	False
PF10995	0.7875918157300823	baseline	0.04090959090409096	0.4182551391772997	100000	False
PF10996	0.6994523702602109	endpoint	0.1927480725192748	0.613869677343608	100000	False
PF11013	0.6989657499009417	baseline	0.22019779802201978	0.6401543880195578	100000	False
PF11028	0.5481189579739513	endpoint	0.7534424655753442	0.9261301519914007	100000	False
PF11104	0.5039688311143957	endpoint	0.976020239797602	0.9949015127212456	100000	False
PF11130	0.6685842214563278	endpoint	0.23311766882331178	0.6497389132784065	100000	False
PF11133	0.6540648449333726	baseline	0.26896731032689675	0.6782121832422884	100000	False
PF11175	0.6036009259096724	endpoint	0.4983250167498325	0.8174872397476545	100000	False
PF11187	0.5152817613698827	baseline	0.926690733092669	0.9787513645915193	100000	False
PF11188	0.6537068246470739	baseline	0.3133968660313397	0.7121249758687045	100000	False
PF11193	0.8369537865064568	endpoint	0.01054989450105499	0.30244708611365706	100000	False
PF11195	0.5067268028363084	baseline	0.9619103808961911	0.9896840542316414	100000	False
PF11228	0.537420328789551	endpoint	0.7968620313796863	0.9403305600111219	100000	False
PF11230	0.7087168846217153	baseline	0.11488885111148889	0.5298948824754915	100000	False
PF11238	0.708630906090326	baseline	0.2021879781202188	0.6235502138913067	100000	False
PF11241	0.5776232359891448	baseline	0.5930540694593054	0.8611662779459496	100000	False
PF11248	0.6446589261841352	baseline	0.3483565164348357	0.7358993605896758	100000	False
PF11253	0.7744025104330577	baseline	0.04766952330476695	0.4306498694419521	100000	False
PF11258	0.631950920581376	endpoint	0.35994640053599464	0.7409712170059395	100000	False
PF11268	0.5145258558012831	baseline	0.9246607533924661	0.978305895554623	100000	False
PF11273	0.587844007559162	endpoint	0.5796642033579664	0.8552858953392447	100000	False
PF11276	0.5200526390371356	baseline	0.8918010819891801	0.9692385405514307	100000	False
PF11283	0.7306980199143445	baseline	0.0912890871091289	0.5030498287705573	100000	False
PF11306	0.5050559923440783	baseline	0.972640273597264	0.9935817308493581	100000	False
PF11307	0.768356087593539	baseline	0.04905950940490595	0.4316273882715719	100000	False
PF11311	0.649589219020272	endpoint	0.32018679813201867	0.7172201121229187	100000	False
PF11325	0.5121191221201781	baseline	0.936490635093649	0.9816570031222766	100000	False
PF11350	0.6201881475577167	baseline	0.4091659083409166	0.7704960214183912	100000	False
PF11361	0.5891716873192998	baseline	0.5720842791572084	0.8519393123956503	100000	False
PF11368	0.6104896018176269	endpoint	0.43045569544304557	0.7822417433565982	100000	False
PF11377	0.5509253866009588	endpoint	0.7403325966740333	0.9216676874767131	100000	False
PF11392	0.7688201777151851	baseline	0.03480965190348097	0.3998015470720125	100000	False
PF11396	0.6671240788630532	baseline	0.25594744052559476	0.6687049773180428	100000	False
PF11398	0.7445417132213179	baseline	0.09117908820911791	0.5027689897914877	100000	False
PF11412	0.8120801307540466	baseline	0.02754972450275497	0.3741260359870546	100000	False
PF11443	0.6034672607192328	endpoint	0.47451525484745155	0.8049415731318237	100000	False
PF11449	0.6194780260065021	endpoint	0.41178588214117856	0.7714318974703137	100000	False
PF11452	0.6279735634900714	baseline	0.42736572634273656	0.7809591692732358	100000	False
PF11453	0.8332583647595505	baseline	0.01089989100108999	0.30244708611365706	100000	False
PF11533	0.8088298638863307	baseline	0.023999760002399975	0.359216091494621	100000	False
PF11551	0.6424842870395079	endpoint	0.29331706682933173	0.695754218846507	100000	False
PF11589	0.543199413868279	baseline	0.7691823081769182	0.9315858156833676	100000	False
PF11655	0.6237827916871412	endpoint	0.43919560804391955	0.78621322036911	100000	False
PF11658	0.7227640478682777	baseline	0.10894891051089489	0.5226406986845367	100000	False
PF11672	0.7316838828657504	endpoint	0.08562914370856291	0.49364299703777154	100000	False
PF11692	0.6299613876274525	baseline	0.40232597674023257	0.7656687847284377	100000	False
PF11694	0.6115660814600412	baseline	0.4109658903410966	0.7708569913530025	100000	False
PF11700	0.5892897647851946	endpoint	0.5330546694533055	0.8319774141455948	100000	False
PF11721	0.6152641770091325	baseline	0.4347056529434706	0.7838599816415556	100000	False
PF11738	0.6179426789651833	endpoint	0.45599544004559955	0.7940240423860453	100000	False
PF11745	0.6245273753484235	baseline	0.3603263967360326	0.7409712170059395	100000	False
PF11751	0.5933194878566195	baseline	0.5370946290537094	0.8343865608485339	100000	False
PF11753	0.6128763856585056	baseline	0.38740612593874063	0.7582084962788199	100000	False
PF11760	0.7955879544662775	endpoint	0.02119978800211998	0.3490012073942661	100000	False
PF11762	0.7657578358054588	endpoint	0.05777942220577794	0.4464458393843228	100000	False
PF11775	0.7256813588818286	endpoint	0.12688873111268886	0.5419226793471369	100000	False
PF11794	0.6240555315017319	baseline	0.3843661563384366	0.7557236904546929	100000	False
PF11795	0.6445217578360821	endpoint	0.37199628003719964	0.7471067843265677	100000	False
PF11796	0.6091988861910532	baseline	0.4704152958470415	0.8026569559006403	100000	False
PF11799	0.6283199942231926	baseline	0.35369646303536967	0.7366662389128646	100000	False
PF11806	0.7882604265998567	baseline	0.03541964580354196	0.4019339286953566	100000	False
PF11818	0.6694932786770194	baseline	0.22991770082299176	0.646022467521943	100000	False
PF11838	0.7442892322033408	baseline	0.06886931130688694	0.4669788931091581	100000	False
PF11842	0.677951980016532	endpoint	0.2224477755222448	0.6407739013826078	100000	False
PF11852	0.5914211682847221	baseline	0.5264447355526445	0.8287138848862806	100000	False
PF11855	0.5063680604186271	baseline	0.966520334796652	0.9915752546267432	100000	False
PF11860	0.6121052067179268	endpoint	0.42965570344296555	0.7819741345272732	100000	False
PF11863	0.5459506628549423	endpoint	0.7603023969760302	0.9285316360287318	100000	False
PF11867	0.6462193068368911	baseline	0.3263067369326307	0.7213696273160566	100000	False
PF11888	0.5904416402394327	endpoint	0.5403545964540355	0.8354234221114266	100000	False
PF11893	0.6996671193491762	baseline	0.16351836481635185	0.5859737679442727	100000	False
PF11896	0.6515456509339561	baseline	0.3194168058319417	0.717098517692825	100000	False
PF11897	0.5217585954446714	baseline	0.8839511604883952	0.9679421482866497	100000	False
PF11898	0.5977474310389468	baseline	0.5015849841501585	0.8190487043456668	100000	False
PF11907	0.5957524231835869	baseline	0.5143848561514385	0.8240570458021556	100000	False
PF11922	0.6976825662940649	baseline	0.1998780012199878	0.6216034315829929	100000	False
PF11924	0.7754785631478972	baseline	0.06262937370626294	0.4527394055715786	100000	False
PF11958	0.7400086428683977	baseline	0.10490895091049089	0.5185473478985465	100000	False
PF11967	0.5979683520872554	baseline	0.5050649493505065	0.8202357322408281	100000	False
PF11974	0.7484696234702097	baseline	0.07190928090719093	0.4724582516079601	100000	False
PF11975	0.6710145276188371	baseline	0.2555074449255507	0.6685189415386951	100000	False
PF11984	0.5740726841045996	baseline	0.6270437295627044	0.8755173248333096	100000	False
PF11987	0.7138996687009651	endpoint	0.16073839261607384	0.5835159934845664	100000	False
PF11997	0.6390692832468554	baseline	0.37384626153738465	0.7481756988328365	100000	False
PF12002	0.6604025556094169	baseline	0.24746752532474675	0.6622332064189178	100000	False
PF12008	0.5289101697771754	baseline	0.8469515304846952	0.9572900084150244	100000	False
PF12010	0.8463216794075887	endpoint	0.006429935700642994	0.2740563156166191	100000	False
PF12029	0.7252115084452833	baseline	0.14545854541454586	0.5661781087856398	100000	False
PF12051	0.8660246231657384	endpoint	0.0022599774002259976	0.23907525984981115	100000	False
PF12072	0.6953332486701963	endpoint	0.17219827801721982	0.5960278946285927	100000	False
PF12080	0.5356249270793431	baseline	0.8176218237817622	0.9474735803855174	100000	False
PF12083	0.5941781666209418	baseline	0.5342446575534244	0.8326278023705259	100000	False
PF12089	0.6901292583990801	baseline	0.2081679183208168	0.6284381197271788	100000	False
PF12099	0.560717423084806	endpoint	0.6775532244677553	0.8976779486307961	100000	False
PF12111	0.6302898594311721	baseline	0.3962960370396296	0.7621215308677894	100000	False
PF12127	0.6604838015792066	endpoint	0.28194718052819473	0.6889121110223412	100000	False
PF12128	0.6056830315645563	endpoint	0.4735152648473515	0.8047884655749654	100000	False
PF12137	0.7744048930775905	baseline	0.04756952430475695	0.43047921618500223	100000	False
