	hit_fraction_z	mean_z	median_z	max_z	mean_prob	median_prob	mean_confidence	median_confidence	hit_fraction_prob	direction
ENOG410XP3Q	0.0	0.684159572968929	0.7213573028808987	1.6194038556841681	0.3577652237394502	0.2871709253818274	0.6422347762605498	0.7128290746181726	0.7142857142857143	dairy
ENOG410XP3R	0.0	0.686344063395315	0.5680773686179892	1.365904373699412	0.7180877845011626	0.7410242260931168	0.7180877845011626	0.7410242260931168	0.8571428571428571	meat
ENOG410XP3U	0.0	0.552803981073296	0.8525656986675153	1.2900328216048549	0.36063569232017517	0.2938976718769095	0.6393643076798248	0.7061023281230905	0.7142857142857143	dairy
ENOG410XP44	0.14285714285714285	0.8147616592457779	1.2942433698235765	2.0130072971262	0.7243369176179607	0.9071946898039097	0.7243369176179607	0.9071946898039097	0.7142857142857143	meat
ENOG410XP48	0.14285714285714285	0.6597705066558956	0.636489843061085	2.9039538928367623	0.3350147219208606	0.1829732583962089	0.6649852780791394	0.8170267416037911	0.7142857142857143	dairy
ENOG410XP49	0.0	0.6908399179698067	1.0999137461229085	1.7299947306591283	0.3472836222822036	0.10537591695932245	0.6527163777177964	0.8946240830406775	0.5714285714285714	dairy
ENOG410XP4A	0.14285714285714285	0.5375196293162587	0.33006008310790275	2.2449290191862032	0.7039052630614301	0.6357805236855296	0.7039052630614301	0.6357805236855296	0.7142857142857143	meat
ENOG410XP4R	0.0	0.10938824817423995	0.016638507762705413	1.3279269929793405	0.5367445156882155	0.505542639343532	0.5367445156882155	0.505542639343532	0.5714285714285714	dairy
ENOG410XP53	0.0	0.44688267756521366	0.5083846165133269	1.7776842051481332	0.4136102260048053	0.2178516969522216	0.5863897739951947	0.7821483030477784	0.5714285714285714	dairy
ENOG410XP54	0.0	0.4052926435116852	0.7290160177614439	1.4608738715951264	0.4010415807067495	0.138270006089927	0.5989584192932504	0.861729993910073	0.5714285714285714	dairy
ENOG410XP56	0.14285714285714285	0.4438679515922126	0.13273461900121453	2.4829835802314273	0.46150027143755074	0.4646038417962539	0.5384997285624493	0.5353961582037461	0.5714285714285714	dairy
ENOG410XP57	0.0	0.04307217775365919	0.16601813585967928	1.5057290372066787	0.48596485833114905	0.43395764118799085	0.5140351416688509	0.5660423588120091	0.5714285714285714	dairy
ENOG410XP59	0.0	0.16149039390053946	0.04074549572978347	1.567933711462119	0.46929337045632635	0.4111281592179646	0.5307066295436736	0.5888718407820355	0.5714285714285714	dairy
ENOG410XP5M	0.0	0.49692174866491273	0.47386653377310867	1.2509252541490183	0.409565581127121	0.36901046109056773	0.590434418872879	0.6309895389094322	0.5714285714285714	dairy
ENOG410XP5N	0.0	0.18569818997613455	0.0015980399140522548	1.068108380287281	0.4656323197659774	0.4087526528849492	0.5343676802340226	0.5912473471150508	0.5714285714285714	dairy
ENOG410XP5P	0.0	0.8553314778628557	1.1645757272548931	1.638917546525567	0.3002973112814947	0.06902055107388476	0.6997026887185053	0.9309794489261153	0.7142857142857143	dairy
ENOG410XP5S	0.0	0.3543569189678451	0.1752769277158356	1.7137102942933147	0.43383942013693544	0.4315103662079315	0.5661605798630646	0.5684896337920685	0.5714285714285714	dairy
ENOG410XP5Y	0.14285714285714285	1.2328879949095217	1.3030862660327929	2.704003870695153	0.20187000833859736	0.14592309238652493	0.7981299916614026	0.8540769076134751	0.8571428571428571	dairy
ENOG410XP61	0.0	0.46471502176356033	0.5297007119170587	1.2452986020896768	0.6366184206420878	0.6606790078307191	0.6366184206420878	0.6606790078307191	0.7142857142857143	meat
ENOG410XP63	0.0	0.42363342089508915	0.8253778099947922	1.8285234173666511	0.6743948971377687	0.7094408186277409	0.6743948971377687	0.7094408186277409	0.8571428571428571	meat
ENOG410XP6B	0.0	0.6049525338982297	0.5575397639995234	1.6440413385784869	0.6667278237397173	0.8059415615522489	0.6667278237397173	0.8059415615522489	0.7142857142857143	meat
ENOG410XP6M	0.14285714285714285	0.9124279208840408	0.7052130253464843	2.8441172643813277	0.29591328146869106	0.14662455553930506	0.7040867185313089	0.8533754444606949	0.7142857142857143	dairy
ENOG410XP6N	0.0	0.5982158409917078	0.9878700276001452	1.3699877167158174	0.36338502498694075	0.25396287062533474	0.6366149750130592	0.7460371293746653	0.7142857142857143	dairy
ENOG410XP70	0.14285714285714285	0.7753228070832254	0.8753176484024959	2.4725354015943055	0.3099927819741244	0.23979364131290737	0.6900072180258756	0.7602063586870926	0.8571428571428571	dairy
ENOG410XP71	0.0	1.1739257442449664	1.3405663024716212	1.8127923215962538	0.21811568237000403	0.1258876569381235	0.781884317629996	0.8741123430618765	0.8571428571428571	dairy
ENOG410XP72	0.0	0.05378395625457252	0.1974340082613831	1.5167049671229589	0.5589309713572246	0.601787192417126	0.5589309713572246	0.601787192417126	0.7142857142857143	meat
ENOG410XP7C	0.0	0.016624871744992626	0.29884639890735465	1.185752005495581	0.5614069046478248	0.5824431234264787	0.5614069046478248	0.5824431234264787	0.7142857142857143	meat
ENOG410XP7H	0.0	0.3349658562914723	0.01291019950637547	1.5858325391318226	0.629231833128758	0.6509141575019687	0.629231833128758	0.6509141575019687	0.5714285714285714	meat
ENOG410XP7I	0.0	1.1757806038990817	1.1943965479324419	1.7214323542834695	0.8454731482170889	0.8551844689745117	0.8454731482170889	0.8551844689745117	1.0	meat
ENOG410XP7P	0.0	0.2257280000118477	0.5005553669596952	0.8743961087721791	0.5813747387647415	0.5730927532684164	0.5813747387647415	0.5730927532684164	0.7142857142857143	meat
ENOG410XP7Y	0.0	0.019899905640167994	0.03092467811095924	1.0819498950964948	0.5252914981886094	0.5546580842203666	0.5252914981886094	0.5546580842203666	0.5714285714285714	meat
ENOG410XP82	0.0	0.04733434072079295	0.09626110646025654	0.8742925064876904	0.5566192098742598	0.5202185323452819	0.5566192098742598	0.5202185323452819	0.5714285714285714	meat
ENOG410XP86	0.14285714285714285	0.741673294393668	0.6910172532997243	2.0835011409067365	0.7330793449943835	0.7669229682381546	0.7330793449943835	0.7669229682381546	0.8571428571428571	meat
ENOG410XP8A	0.0	0.711521299150724	0.9748494027060821	1.8490983337788787	0.3742901641692749	0.39697879946307946	0.6257098358307251	0.6030212005369205	0.7142857142857143	dairy
ENOG410XP8I	0.0	0.34916518055188966	0.2468582506439347	1.2261546695165924	0.6287203904550976	0.6499064415454876	0.6287203904550976	0.6499064415454876	0.7142857142857143	meat
ENOG410XP8J	0.14285714285714285	0.2318745868742212	0.10972324890449342	2.4019830732767438	0.5178489296557003	0.5068413394484271	0.5178489296557003	0.5068413394484271	0.5714285714285714	dairy
ENOG410XP8N	0.0	1.1752335421161575	1.1876641282207205	1.788904528945832	0.22046301833429954	0.13825527293939863	0.7795369816657005	0.8617447270606013	0.8571428571428571	dairy
ENOG410XP94	0.0	0.08756015316630207	0.3068191561378892	1.5901128111060576	0.503819626933105	0.6046726036105076	0.503819626933105	0.6046726036105076	0.5714285714285714	dairy
ENOG410XP95	0.14285714285714285	1.2625018488286002	1.0398543883269638	3.094753771530271	0.20802421090125534	0.15803275332452302	0.7919757890987447	0.841967246675477	0.8571428571428571	dairy
ENOG410XP9D	0.14285714285714285	0.7521005477014244	0.971366383152216	3.1627212160369975	0.31109083196938364	0.06673895865636577	0.6889091680306163	0.9332610413436342	0.7142857142857143	dairy
ENOG410XP9H	0.14285714285714285	0.910708690298632	1.1495696188107847	2.559257003831866	0.3419557392565399	0.3329888575581433	0.6580442607434601	0.6670111424418568	0.7142857142857143	dairy
ENOG410XP9Q	0.0	0.4456512822279655	0.3690372092280074	1.6325352707513268	0.6464820489227134	0.702581380311703	0.6464820489227134	0.702581380311703	0.7142857142857143	meat
ENOG410XPA1	0.0	0.23493610710541526	0.48713320232404705	0.9119316806330086	0.5848376403139108	0.6337504992423899	0.5848376403139108	0.6337504992423899	0.7142857142857143	meat
ENOG410XPA5	0.0	0.050668465329921135	0.09449933431744838	1.3970528030786644	0.508912536330599	0.45286142219282627	0.508912536330599	0.5471385778071738	0.5714285714285714	dairy
ENOG410XPA7	0.0	0.5330242986756729	0.7522373602860098	1.5298150398009176	0.40117041191652036	0.39851886547146054	0.5988295880834796	0.6014811345285395	0.5714285714285714	dairy
ENOG410XPA8	0.0	0.21754452277184536	0.21050425638655218	1.4238399697274946	0.6051857256371641	0.8069671093871986	0.6051857256371641	0.8069671093871986	0.7142857142857143	meat
ENOG410XPA9	0.0	0.006889114568489603	0.3394823542416181	1.058600502627356	0.5260295452583723	0.6194741611176278	0.5260295452583723	0.6194741611176278	0.5714285714285714	meat
ENOG410XPAA	0.0	0.4399553855761574	0.13110275626197668	1.7313117652456347	0.6246967174531679	0.76695619998556	0.6246967174531679	0.76695619998556	0.5714285714285714	meat
ENOG410XPAH	0.0	0.8735540528242378	0.8674636504024622	1.9172269398264419	0.7340009919100295	0.762852944218184	0.7340009919100295	0.762852944218184	0.8571428571428571	meat
ENOG410XPAI	0.0	0.9537705473830301	0.847384331638155	1.5891281270701383	0.28848121995515663	0.17779165913434672	0.7115187800448434	0.8222083408656533	0.7142857142857143	dairy
ENOG410XPAU	0.0	0.05522346231611001	0.04024755012764988	1.0234299457080835	0.5376032141267064	0.4758904338265426	0.5376032141267064	0.5241095661734574	0.5714285714285714	meat
ENOG410XPAW	0.0	0.43345935890199094	0.523392209653909	1.4059140557469052	0.6667231860172798	0.6162613140490102	0.6667231860172798	0.6162613140490102	0.7142857142857143	meat
ENOG410XPAZ	0.14285714285714285	1.3627677147722708	1.2254700127585532	2.6534766288024603	0.19253670906839207	0.15392433757856022	0.807463290931608	0.8460756624214398	1.0	dairy
ENOG410XPB1	0.0	0.37864759975027795	0.12756688197718452	1.4143067207135855	0.4279947784609424	0.3317541439384795	0.5720052215390576	0.6682458560615205	0.5714285714285714	dairy
ENOG410XPB6	0.14285714285714285	0.498630900821956	0.26381220722103443	2.5935433267513335	0.3912469690098738	0.3335686356353097	0.6087530309901261	0.6664313643646903	0.8571428571428571	dairy
ENOG410XPB7	0.0	0.810469464437238	0.7602277962414198	1.8372276736703763	0.31715871151843306	0.14955368279440617	0.6828412884815669	0.8504463172055938	0.7142857142857143	dairy
ENOG410XPBG	0.0	0.6935211027746705	0.8141332279411239	1.5753547559414856	0.34303385135391523	0.12892740102839015	0.6569661486460847	0.8710725989716098	0.7142857142857143	dairy
ENOG410XPBJ	0.0	0.008209403719210851	0.048933483690853284	1.1230455545413944	0.5072958451427463	0.4451572397793675	0.5072958451427463	0.5548427602206325	0.5714285714285714	dairy
ENOG410XPBQ	0.0	0.3182082810945916	0.3123228855807006	0.9271251501942099	0.464882424283759	0.40862030267185767	0.535117575716241	0.5913796973281423	0.5714285714285714	dairy
ENOG410XPBR	0.0	0.05214616943696661	0.11743640136497142	1.8102726643680118	0.5561029519034718	0.5567975692655838	0.5561029519034718	0.5567975692655838	0.7142857142857143	meat
ENOG410XPBS	0.0	0.3121603269414474	0.556177556061558	1.2755265724030571	0.6240821520300678	0.6794564824360356	0.6240821520300678	0.6794564824360356	0.7142857142857143	meat
ENOG410XPBV	0.0	0.7917048216797024	0.8179566324898009	1.6896471369076043	0.3285837004058073	0.17815088185534286	0.6714162995941927	0.8218491181446571	0.7142857142857143	dairy
ENOG410XPC1	0.0	0.2298937611147027	0.4090644258745156	1.558929518311731	0.4597230704855363	0.36971587900234804	0.5402769295144637	0.630284120997652	0.5714285714285714	dairy
ENOG410XPC7	0.0	0.8615220171551355	1.2065641085518495	1.4720621546777772	0.7795477553190671	0.7967572631050285	0.7795477553190671	0.7967572631050285	0.8571428571428571	meat
ENOG410XPCD	0.0	0.4807485079632223	0.43914766766715413	1.2732307906693057	0.6629518208909616	0.676510672054916	0.6629518208909616	0.676510672054916	0.8571428571428571	meat
ENOG410XPCF	0.0	0.3724480908878075	0.8868350685631795	1.2389259806458888	0.4120349338000763	0.4431838919537815	0.5879650661999237	0.5568161080462185	0.5714285714285714	dairy
ENOG410XPCH	0.0	0.10213715900781449	0.24275748229286906	1.3163461645992376	0.4857049518110968	0.4738813436086864	0.5142950481889033	0.5261186563913136	0.5714285714285714	dairy
ENOG410XPCY	0.0	0.11612532113542143	0.26095504387761903	1.1010252898285893	0.5694308854225589	0.5688076176874355	0.5694308854225589	0.5688076176874355	0.7142857142857143	meat
ENOG410XPD4	0.0	0.3806200059071347	0.5111068973291617	1.7280850954266975	0.39932507593541106	0.21709182344984865	0.600674924064589	0.7829081765501513	0.7142857142857143	dairy
ENOG410XPD5	0.0	0.7181450374859095	0.6374785100066415	1.876082257474251	0.7077616909424462	0.8055751334539304	0.7077616909424462	0.8055751334539304	0.8571428571428571	meat
ENOG410XPD8	0.0	0.07953070875121777	0.33176933670381725	0.7547850955794536	0.5467975804043173	0.5963726135042046	0.5467975804043173	0.5963726135042046	0.7142857142857143	meat
ENOG410XPDK	0.0	0.46183053826709664	0.5300542861474716	1.370318058938395	0.6514399227269211	0.686577932518427	0.6514399227269211	0.686577932518427	0.8571428571428571	meat
ENOG410XPDP	0.0	0.4102912145848939	0.588447173307036	1.7297021672249036	0.41418593059822933	0.2705063207811349	0.5858140694017706	0.7294936792188651	0.5714285714285714	dairy
ENOG410XPDR	0.0	0.7984623218706058	0.8078842351314074	1.5007853375802431	0.324165777854447	0.281700825868279	0.675834222145553	0.7182991741317211	0.8571428571428571	dairy
ENOG410XPDS	0.0	0.6812853243412071	0.5641565908162022	1.3100462904739438	0.7261527584862534	0.6606152064268557	0.7261527584862534	0.6606152064268557	1.0	meat
ENOG410XPDT	0.0	0.7096418452252224	0.5608040634710523	1.6508236725127179	0.3401255620989649	0.29854179733069297	0.6598744379010351	0.701458202669307	0.7142857142857143	dairy
ENOG410XPE4	0.14285714285714285	0.8975538073356297	0.8234431100740797	3.296970293826518	0.2847865519355614	0.30249314547767886	0.7152134480644385	0.6975068545223211	0.8571428571428571	dairy
ENOG410XPE8	0.0	0.4493376629199997	0.4762422132833191	1.0870948924833033	0.4019112278271466	0.23741417386836397	0.5980887721728534	0.7625858261316361	0.7142857142857143	dairy
ENOG410XPE9	0.0	0.48545379590478027	1.0537591393336398	1.4884814590425093	0.395675272120577	0.18840134791511845	0.604324727879423	0.8115986520848816	0.5714285714285714	dairy
ENOG410XPEC	0.0	0.4108243227460351	0.5177255846309271	1.104989825117033	0.42155891444050264	0.5637443186608032	0.5784410855594974	0.5637443186608032	0.5714285714285714	dairy
