feature	diet_dairy	diet_meat	time_baseline	time_endpoint	n_embeddings	max_hits
ENOG410XV2J	4	3	0	7	7	7
ENOG410XV65	4	3	0	7	7	7
ENOG410XVIV	5	2	0	7	7	7
ENOG410XVPQ	6	1	0	7	7	7
ENOG410XVQ2	4	3	0	7	7	7
ENOG410XWM3	5	2	0	7	7	7
ENOG410XWV3	3	4	0	7	7	7
ENOG410XX6V	4	3	0	7	7	7
ENOG410XY17	4	3	0	7	7	7
ENOG410XY9G	5	2	0	7	7	7
ENOG410XTK8	7	0	3	4	7	7
ENOG410XYEE	3	4	0	7	7	7
ENOG410XZ45	3	4	0	7	7	7
ENOG410XZUM	5	2	0	7	7	7
ENOG410Y01V	5	2	0	7	7	7
ENOG410Y02D	6	1	0	7	7	7
ENOG410Y12H	4	3	0	7	7	7
ENOG410Y1MD	7	0	6	1	7	7
ENOG410Y2FJ	4	3	0	7	7	7
ENOG410Y2IM	3	4	0	7	7	7
ENOG410Y2QG	3	4	0	7	7	7
ENOG410XTM1	5	2	0	7	7	7
ENOG410XTEX	2	5	0	7	7	7
COG1334	2	5	0	7	7	7
ENOG410XQN3	5	2	0	7	7	7
COG3866	4	3	0	7	7	7
COG3952	7	0	5	2	7	7
COG3972	5	2	0	7	7	7
COG4286	3	4	0	7	7	7
COG4502	4	3	0	7	7	7
COG4797	1	6	7	0	7	7
ENOG410XNTZ	4	3	0	7	7	7
ENOG410XPGH	4	3	0	7	7	7
ENOG410XPR1	4	3	0	7	7	7
ENOG410XPR3	5	2	0	7	7	7
ENOG410XQP6	7	0	3	4	7	7
ENOG410XTC8	7	0	4	3	7	7
ENOG410XQTH	3	4	0	7	7	7
ENOG410XR0J	7	0	1	6	7	7
ENOG410XRI8	5	2	0	7	7	7
ENOG410XRKQ	7	0	3	4	7	7
ENOG410XRWQ	3	4	0	7	7	7
ENOG410XRX3	4	3	0	7	7	7
ENOG410XSEP	6	1	0	7	7	7
ENOG410XSG7	3	4	0	7	7	7
ENOG410XSP4	4	3	0	7	7	7
ENOG410XT2G	3	4	0	7	7	7
ENOG4111FXN	4	3	0	7	7	7
ENOG4111FJD	4	3	0	7	7	7
ENOG410Y44W	3	4	0	7	7	7
ENOG4111F8R	7	0	0	7	7	7
ENOG410XRDV	0	7	7	0	7	7
ENOG410XRGA	5	2	0	7	7	7
ENOG410XS98	5	2	0	7	7	7
ENOG410XSPJ	0	7	5	2	7	7
ENOG410XTKS	3	4	0	7	7	7
ENOG410XU1U	3	4	0	7	7	7
ENOG410XUFC	0	7	2	5	7	7
ENOG410XV06	2	5	0	7	7	7
ENOG410XVGB	0	7	3	4	7	7
ENOG410XVXM	2	5	0	7	7	7
ENOG410XWQI	5	2	0	7	7	7
ENOG410XWY9	0	7	7	0	7	7
ENOG410XXX9	4	3	0	7	7	7
ENOG410XYNB	4	3	0	7	7	7
ENOG410Y1JH	0	7	5	2	7	7
ENOG410Y1QQ	4	3	0	7	7	7
ENOG410Y5DI	0	7	6	1	7	7
ENOG410Y65M	7	0	1	6	7	7
ENOG410Y6W3	4	3	0	7	7	7
ENOG410Y736	5	2	0	7	7	7
ENOG410Y7AI	3	4	7	0	7	7
ENOG410Y8U6	3	4	0	7	7	7
ENOG410Y8YW	2	5	7	0	7	7
ENOG410XR9X	4	3	0	7	7	7
ENOG410XR7P	6	1	0	7	7	7
ENOG410XQNW	0	7	3	4	7	7
COG4124	5	2	0	7	7	7
ENOG4112C08	3	4	7	0	7	7
COG0455	4	3	0	7	7	7
COG1332	4	3	0	7	7	7
COG1567	3	4	0	7	7	7
COG2703	3	4	0	7	7	7
COG3007	3	4	0	7	7	7
COG3224	1	6	7	0	7	7
COG3347	2	5	0	7	7	7
COG3401	3	4	0	7	7	7
COG3864	2	5	7	0	7	7
COG4261	7	0	3	4	7	7
ENOG410XQIS	5	2	7	0	7	7
COG4717	2	5	7	0	7	7
COG5039	4	3	0	7	7	7
COG5361	4	3	0	7	7	7
ENOG410XP8I	2	5	7	0	7	7
ENOG410XPA8	2	5	0	7	7	7
ENOG410XPAZ	7	0	2	5	7	7
ENOG410XPBS	2	5	7	0	7	7
ENOG410XPDS	0	7	7	0	7	7
ENOG410XQ8P	7	0	5	2	7	7
ENOG410XQEM	2	5	7	0	7	7
ENOG410Y926	7	0	3	4	7	7
ENOG410Y93R	3	4	0	7	7	7
ENOG410Y9G0	4	3	0	7	7	7
ENOG410ZVJF	4	3	0	7	7	7
ENOG410ZBRU	5	2	0	7	7	7
ENOG410ZDMZ	3	4	7	0	7	7
ENOG410ZG9V	4	3	0	7	7	7
ENOG410ZJCP	2	5	0	7	7	7
ENOG410ZMVI	0	7	5	2	7	7
ENOG410ZPQY	3	4	0	7	7	7
ENOG410ZR5Z	4	3	0	7	7	7
ENOG410ZRG1	7	0	2	5	7	7
ENOG410ZTTH	5	2	0	7	7	7
ENOG410ZUW0	5	2	7	0	7	7
ENOG410ZW8V	7	0	1	6	7	7
ENOG410Z7CV	5	2	0	7	7	7
ENOG410ZWU1	4	3	0	7	7	7
ENOG410ZXMP	3	4	0	7	7	7
ENOG410ZYQ7	0	7	3	4	7	7
ENOG410ZZ0X	0	7	3	4	7	7
ENOG410ZZ6S	5	2	7	0	7	7
ENOG411004G	0	7	4	3	7	7
ENOG41100NK	5	2	0	7	7	7
ENOG4110P1F	5	2	0	7	7	7
ENOG4110XAM	5	2	0	7	7	7
ENOG4111F8N	7	0	2	5	7	7
ENOG410ZBPX	0	7	5	2	7	7
ENOG410Z78F	7	0	3	4	7	7
ENOG410YA2Z	5	2	0	7	7	7
ENOG410YQWC	3	4	0	7	7	7
ENOG410YA6E	5	2	0	7	7	7
ENOG410YAU0	5	2	0	7	7	7
ENOG410YDBQ	2	5	0	7	7	7
ENOG410YE9Q	4	3	0	7	7	7
ENOG410YEBJ	1	6	0	7	7	7
ENOG410YFSH	4	3	0	7	7	7
ENOG410YJ4K	2	5	7	0	7	7
ENOG410YJ7Q	4	3	7	0	7	7
ENOG410YNW0	5	2	0	7	7	7
ENOG410YNY1	5	2	0	7	7	7
ENOG410YRAB	0	7	5	2	7	7
ENOG410Z6AU	2	5	0	7	7	7
ENOG410YTMJ	5	2	0	7	7	7
ENOG410YTR8	1	6	7	0	7	7
ENOG410YVF8	4	3	0	7	7	7
ENOG410YYHZ	2	5	7	0	7	7
ENOG410YYNW	7	0	4	3	7	7
ENOG410YZJM	5	2	0	7	7	7
ENOG410Z03M	2	5	7	0	7	7
ENOG410Z330	2	5	0	7	7	7
ENOG410Z41R	4	3	0	7	7	7
ENOG410Z5R7	2	5	0	7	7	7
ENOG410Y3AH	3	4	0	7	7	7
ENOG410Y4I7	3	4	0	7	7	7
ENOG4111K16	3	4	0	7	7	7
ENOG4111FTA	2	5	7	0	7	7
ENOG4111UB9	4	3	0	7	7	7
ENOG4111UE5	4	3	0	7	7	7
ENOG4111UR5	4	3	0	7	7	7
ENOG4111UTX	6	1	0	7	7	7
ENOG4111VAV	4	3	0	7	7	7
ENOG4111VB3	3	4	0	7	7	7
ENOG4111VBB	7	0	3	4	7	7
ENOG4111VH8	4	3	0	7	7	7
ENOG4111VI5	6	1	0	7	7	7
ENOG4111WS7	4	3	0	7	7	7
ENOG4111X7D	4	3	0	7	7	7
ENOG4111XFE	5	2	0	7	7	7
ENOG4111XHD	4	3	0	7	7	7
ENOG4111XZR	4	3	0	7	7	7
ENOG4111Y5F	5	2	0	7	7	7
ENOG4111YW5	2	5	0	7	7	7
ENOG4111YWK	4	3	0	7	7	7
ENOG4111ZU2	3	4	0	7	7	7
ENOG4111ZYQ	5	2	0	7	7	7
ENOG4111ZZI	3	4	0	7	7	7
ENOG41120C4	4	3	0	7	7	7
ENOG41120DB	2	5	0	7	7	7
ENOG41120QD	4	3	0	7	7	7
ENOG4111U81	5	2	0	7	7	7
ENOG4111U74	4	3	0	7	7	7
ENOG4111TVG	5	2	0	7	7	7
ENOG4111MX3	4	3	0	7	7	7
ENOG4111GND	4	3	0	7	7	7
ENOG4111GVE	7	0	1	6	7	7
ENOG4111H00	4	3	0	7	7	7
ENOG4111H11	3	4	0	7	7	7
ENOG4111HX8	3	4	0	7	7	7
ENOG4111IJU	4	3	0	7	7	7
ENOG4111IRT	5	2	0	7	7	7
ENOG4111JDN	5	2	0	7	7	7
ENOG4111JKB	4	3	0	7	7	7
ENOG4111MSQ	5	2	0	7	7	7
ENOG4111NNW	3	4	0	7	7	7
ENOG4111TB4	4	3	0	7	7	7
ENOG4111NTE	5	2	0	7	7	7
ENOG4111NUU	5	2	0	7	7	7
ENOG4111P5M	2	5	0	7	7	7
ENOG4111P6W	4	3	0	7	7	7
ENOG4111Q8K	3	4	0	7	7	7
ENOG4111R9E	3	4	0	7	7	7
ENOG4111RP8	4	3	0	7	7	7
ENOG4111RTE	4	3	0	7	7	7
ENOG4111RWT	5	2	0	7	7	7
ENOG4111SU2	7	0	3	4	7	7
ENOG41120UV	4	3	0	7	7	7
ENOG41121WJ	4	3	0	7	7	7
ENOG411228A	7	0	3	4	7	7
ENOG4111P36	0	7	5	2	7	7
ENOG410XWE4	4	3	0	7	7	7
ENOG410XWUM	4	3	0	7	7	7
ENOG410Y3AE	0	7	4	3	7	7
ENOG410Y90V	2	5	7	0	7	7
ENOG410YBJF	0	7	5	2	7	7
ENOG410YXKT	2	5	0	7	7	7
ENOG410Z4FU	2	5	0	7	7	7
ENOG410ZHID	2	5	7	0	7	7
ENOG410ZWMY	3	4	0	7	7	7
ENOG4110WKJ	4	3	0	7	7	7
ENOG4111PTZ	0	7	6	1	7	7
ENOG4112DBJ	5	2	0	7	7	7
ENOG4111RX8	0	7	5	2	7	7
ENOG41120S9	0	7	4	3	7	7
ENOG41122RP	4	3	0	7	7	7
COG4412	6	1	0	7	7	7
COG5620	4	3	0	7	7	7
ENOG410YWDA	5	2	0	7	7	7
ENOG410YYRY	4	3	0	7	7	7
ENOG410Z6GU	4	3	7	0	7	7
ENOG410ZAFM	4	3	0	7	7	7
ENOG410ZHQ3	4	3	0	7	7	7
COG4403	4	3	0	7	7	7
ENOG4112BNG	5	2	0	7	7	7
ENOG411229U	4	3	0	7	7	7
ENOG411261G	5	2	0	7	7	7
ENOG41122GJ	4	3	0	7	7	7
ENOG411230M	5	2	0	7	7	7
ENOG41124PE	4	3	0	7	7	7
ENOG4112522	4	3	0	7	7	7
ENOG41125D6	4	3	0	7	7	7
ENOG41125GB	4	3	0	7	7	7
ENOG41125JT	4	3	0	7	7	7
ENOG41125N3	4	3	0	7	7	7
ENOG41125RF	5	2	0	7	7	7
ENOG41125V3	4	3	0	7	7	7
ENOG4112676	4	3	0	7	7	7
ENOG4112A2A	3	4	0	7	7	7
ENOG41126GD	4	3	0	7	7	7
ENOG41126IB	4	3	0	7	7	7
ENOG411271A	3	4	0	7	7	7
ENOG41127P0	5	2	0	7	7	7
ENOG41127PX	5	2	0	7	7	7
ENOG41127W8	5	2	0	7	7	7
ENOG411280K	5	2	7	0	7	7
ENOG4112857	4	3	0	7	7	7
ENOG41128TJ	7	0	4	3	7	7
ENOG411296X	4	3	0	7	7	7
ENOG4111G9H	5	2	0	7	7	7
ENOG4111F8X	4	3	0	7	7	7
ENOG410Y4NF	5	2	0	7	7	7
ENOG41118QN	3	4	0	7	7	7
ENOG410YF2K	4	3	0	7	7	7
ENOG410YGXY	4	3	0	7	7	7
