,0
COG0139,0.0
COG0140,0.0
COG0141,0.0
COG0142,0.0
COG0143,0.0
COG0144,0.0
COG0145,0.0
COG0147,0.0
COG0148,0.0
COG0149,0.0
COG0150,0.0
COG0151,0.0
COG0152,0.0
COG0153,0.0
COG0154,0.0
COG0155,0.0
COG0156,0.0
COG0157,0.0
COG0158,0.08256880733944955
COG0159,0.0
COG0160,0.0
COG0161,0.0
COG0162,0.0
COG0163,0.0
COG0164,0.0
COG0165,0.0
COG0166,0.0
COG0167,0.0
COG0168,0.0
COG0169,0.0
COG0171,0.0
COG0172,0.0
COG0173,0.0
COG0174,0.0
COG0175,0.0
COG0176,0.0
COG0177,0.0
COG0178,0.0
COG0179,0.0
COG0180,0.0
COG0181,0.0
COG0182,0.0
COG0183,0.0
COG0184,0.0
COG0185,0.0
COG0186,0.0
COG0187,0.0
COG0188,0.0
COG0189,0.027522935779816515
COG0190,0.0
COG0191,0.0
COG0192,0.0
COG0193,0.0
COG0194,0.0
COG0195,0.0
COG0196,0.0
COG0197,0.0
COG0198,0.0
COG0199,0.0
COG0200,0.0
COG0201,0.0
COG0202,0.0
COG0203,0.0
COG0204,0.0
COG0205,0.0
COG0206,0.0
COG0207,0.0
COG0208,0.0
COG0209,0.0
COG0210,0.0
COG0211,0.0
COG0212,0.0
COG0213,0.0
COG0214,0.0
COG0215,0.0
COG0216,0.0
COG0217,0.0
COG0218,0.0
COG0219,0.0
COG0220,0.0
COG0221,0.0
COG0222,0.0
COG0223,0.0
COG0224,0.0
COG0225,0.0
COG0226,0.0
COG0227,0.0
COG0228,0.0
COG0229,0.0
COG0230,0.0
COG0231,0.0
COG0232,0.0
COG0233,0.0
COG0234,0.0
COG0235,0.0
COG0236,0.0
COG0237,0.0
COG0238,0.0
COG0239,0.0
COG0240,0.0
COG0241,0.0
COG0242,0.0
COG0243,0.0
COG0244,0.0
COG0245,0.0
COG0246,0.0
COG0247,0.0
COG0248,0.0
COG0249,0.0
COG0250,0.0
COG0251,0.0
COG0252,0.0
COG0253,0.0
COG0254,0.0
COG0255,0.0
COG0256,0.0
COG0257,0.0
COG0258,0.0
COG0259,0.027522935779816515
COG0260,0.0
COG0261,0.0
COG0262,0.0
COG0263,0.0
COG0264,0.0
COG0265,0.0
COG0266,0.0
COG0267,0.0
COG0268,0.0
COG0269,0.009174311926605505
COG0270,0.0
COG0272,0.0
COG0274,0.0
COG0275,0.0
COG0276,0.0
COG0277,0.0
COG0279,0.0
COG0280,0.0
COG0281,0.0
COG0282,0.0
COG0283,0.0
COG0284,0.0
COG0285,0.0
COG0286,0.0
COG0287,0.0
COG0288,0.0
COG0289,0.0
COG0290,0.0
COG0291,0.0
COG0292,0.0
COG0293,0.06422018348623854
COG0294,0.0
COG0295,0.0
COG0296,0.0
COG0297,0.0
COG0298,0.0
COG0299,0.0
COG0300,0.0
COG0301,0.0
COG0302,0.0
COG0303,0.0
COG0304,0.0
COG0305,0.0
COG0306,0.0
COG0307,0.0
COG0308,0.0
