Supplementary Table 1. Differential abundance analysis results across 5-month-old and 12-month-old groups for microbiome features.						
Feature Type/Library	Feature	Feature function/pathway/details	Fold Change	Group with higher relative abundace	Paired Wilcoxon rank sum test raw p-value	FDR 
ENOG4111N5G	R polymerase sigma factor	Transcription	3.45827669	12-month-old	1.50961E-07	3.29675E-05
ENOG41127W8		Function unknown	4.608808413	12-month-old	1.50834E-07	3.29675E-05
ENOG410YQEP		Function unknown	4.63373811	12-month-old	1.53071E-07	3.30052E-05
COG4286	Uncharacterized conserved protein related to MYG1 family	Function unknown	3.868204596	12-month-old	1.55249E-07	3.30564E-05
K07035	uncharacterized protein	Not Included in Pathway or Brite; Poorly characterized; Function unknown	1.819076657	12-month-old	1.59078E-07	3.34535E-05
ENOG4111P8P		Function unknown	2.393866931	12-month-old	1.67616E-07	3.39901E-05
ENOG410XWQI	transcriptional regulator	Transcription	3.722174012	12-month-old	1.66891E-07	3.39901E-05
ENOG410XW2M	Fucose 4-O-acetylase and related acetyltransferases	Function unknown	4.895117471	12-month-old	1.64698E-07	3.39901E-05
ENOG4111N9C		Function unknown	2.089010514	12-month-old	1.76596E-07	3.42721E-05
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lachnospiraceae.g_Roseburia.s_Unclassified.Roseburia	NA	NA	3.290103029	12-month-old	1.76596E-07	3.42721E-05
ENOG41123IF		Function unknown	3.37537365	12-month-old	1.73089E-07	3.42721E-05
ENOG4111GBX		Function unknown	3.43083836	12-month-old	1.77055E-07	3.42721E-05
ENOG410XPKA		Function unknown	1.539618366	12-month-old	2.06417E-07	3.58064E-05
K01715	enoyl-CoA hydratase [EC:4.2.1.17]	Metabolism; Carbohydrate metabolism; Butanoate metabolism	1.861836058	12-month-old	2.17398E-07	3.58064E-05
ENOG410ZPHH		"Replication, recombination and repair"	2.088987308	12-month-old	1.95973E-07	3.58064E-05
K03191	acid-activated urea channel	Human Diseases; Infectious diseases: Bacterial; Epithelial cell signaling in Helicobacter pylori infection | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	2.728241032	12-month-old	1.95973E-07	3.58064E-05
PF12994	"[Domain of unknown function, E. rectale Gene description (DUF3878)]"		2.743902472	12-month-old	1.95973E-07	3.58064E-05
ENOG4111NI7		Function unknown	2.777683469	12-month-old	2.07502E-07	3.58064E-05
