	score	direction	p_value	q_value	n_permutations	at_permutation_floor
COG0198	0.0	meat	1.0	1.0	100000	False
COG0199	0.0	meat	1.0	1.0	100000	False
COG0200	0.1428571428571428	meat	0.2967770322296777	1.0	100000	False
COG0201	0.2857142857142857	meat	0.03874961250387496	1.0	100000	False
COG0202	0.1428571428571428	meat	0.33139668603313965	1.0	100000	False
COG0203	0.1428571428571428	meat	0.25038749612503874	1.0	100000	False
COG0204	0.0	meat	1.0	1.0	100000	False
COG0205	0.0	dairy	1.0	1.0	100000	False
COG0206	0.1428571428571428	dairy	0.23852761472385275	1.0	100000	False
COG0207	0.0	meat	1.0	1.0	100000	False
COG0208	0.0	meat	1.0	1.0	100000	False
COG0209	0.0	meat	1.0	1.0	100000	False
COG0210	0.1428571428571428	meat	0.2815971840281597	1.0	100000	False
COG0211	0.0	meat	1.0	1.0	100000	False
COG0212	0.0	meat	1.0	1.0	100000	False
COG0213	0.0	meat	1.0	1.0	100000	False
COG0214	0.0	meat	1.0	1.0	100000	False
COG0215	0.0	meat	1.0	1.0	100000	False
COG0216	0.0	meat	1.0	1.0	100000	False
COG0217	0.1428571428571428	meat	0.2209577904220958	1.0	100000	False
COG0218	0.0	dairy	1.0	1.0	100000	False
COG0219	0.0	meat	1.0	1.0	100000	False
COG0220	0.1428571428571428	meat	0.2821871781282187	1.0	100000	False
COG0221	0.2857142857142857	meat	0.04150958490415096	1.0	100000	False
COG0222	0.0	meat	1.0	1.0	100000	False
COG0223	0.0	meat	1.0	1.0	100000	False
COG0224	0.0	meat	1.0	1.0	100000	False
COG0225	0.0	meat	1.0	1.0	100000	False
COG0226	0.0	meat	1.0	1.0	100000	False
COG0227	0.1428571428571428	meat	0.25465745342546575	1.0	100000	False
COG0228	0.0	meat	1.0	1.0	100000	False
COG0229	0.0	meat	1.0	1.0	100000	False
COG0230	0.0	meat	1.0	1.0	100000	False
COG0231	0.0	meat	1.0	1.0	100000	False
COG0232	0.1428571428571428	dairy	0.24450755492445075	1.0	100000	False
COG0233	0.0	meat	1.0	1.0	100000	False
COG0234	0.0	dairy	1.0	1.0	100000	False
COG0235	0.0	meat	1.0	1.0	100000	False
COG0236	0.0	dairy	1.0	1.0	100000	False
COG0237	0.1428571428571428	meat	0.26004739952600475	1.0	100000	False
COG0238	0.1428571428571428	dairy	0.2052879471205288	1.0	100000	False
COG0239	0.0	meat	1.0	1.0	100000	False
COG0240	0.1428571428571428	meat	0.2888071119288807	1.0	100000	False
COG0241	0.0	dairy	1.0	1.0	100000	False
COG0242	0.1428571428571428	meat	0.32078679213207867	1.0	100000	False
COG0243	0.0	meat	1.0	1.0	100000	False
COG0244	0.0	meat	1.0	1.0	100000	False
COG0245	0.0	meat	1.0	1.0	100000	False
COG0246	0.1428571428571428	meat	0.22926770732292678	1.0	100000	False
COG0247	0.0	meat	1.0	1.0	100000	False
COG0248	0.0	meat	1.0	1.0	100000	False
COG0249	0.1428571428571428	dairy	0.23699763002369975	1.0	100000	False
COG0250	0.1428571428571428	meat	0.27968720312796874	1.0	100000	False
COG0251	0.0	meat	1.0	1.0	100000	False
COG0252	0.0	dairy	1.0	1.0	100000	False
COG0253	0.0	meat	1.0	1.0	100000	False
COG0254	0.1428571428571428	meat	0.3024969750302497	1.0	100000	False
COG0255	0.0	meat	1.0	1.0	100000	False
COG0256	0.1428571428571428	meat	0.2834871651283487	1.0	100000	False
COG0257	0.1428571428571428	meat	0.26359736402635975	1.0	100000	False
COG0258	0.2857142857142857	meat	0.022909770902290977	1.0	100000	False
COG0259	0.0	dairy	1.0	1.0	100000	False
COG0260	0.0	meat	1.0	1.0	100000	False
COG0261	0.1428571428571428	meat	0.3245667543324567	1.0	100000	False
COG0262	0.1428571428571428	meat	0.26532734672653274	1.0	100000	False
COG0263	0.1428571428571428	meat	0.2786272137278627	1.0	100000	False
COG0264	0.0	meat	1.0	1.0	100000	False
COG0265	0.1428571428571428	meat	0.1967980320196798	1.0	100000	False
COG0266	0.0	meat	1.0	1.0	100000	False
COG0267	0.1428571428571428	meat	0.2986770132298677	1.0	100000	False
COG0268	0.0	meat	1.0	1.0	100000	False
COG0269	0.1428571428571428	dairy	0.21901780982190178	1.0	100000	False
COG0270	0.0	meat	1.0	1.0	100000	False
COG0272	0.0	meat	1.0	1.0	100000	False
COG0274	0.0	dairy	1.0	1.0	100000	False
COG0275	0.0	meat	1.0	1.0	100000	False
COG0276	0.0	meat	1.0	1.0	100000	False
COG0277	0.0	meat	1.0	1.0	100000	False
COG0279	0.0	meat	1.0	1.0	100000	False
COG0280	0.0	dairy	1.0	1.0	100000	False
COG0281	0.0	dairy	1.0	1.0	100000	False
COG0282	0.0	meat	1.0	1.0	100000	False
COG0283	0.0	dairy	1.0	1.0	100000	False
COG0284	0.0	meat	1.0	1.0	100000	False
COG0285	0.0	meat	1.0	1.0	100000	False
COG0286	0.0	meat	1.0	1.0	100000	False
COG0287	0.1428571428571428	meat	0.33557664423355765	1.0	100000	False
COG0288	0.0	meat	1.0	1.0	100000	False
COG0289	0.0	meat	1.0	1.0	100000	False
COG0290	0.0	meat	1.0	1.0	100000	False
COG0291	0.0	dairy	1.0	1.0	100000	False
COG0292	0.0	meat	1.0	1.0	100000	False
COG0293	0.0	meat	1.0	1.0	100000	False
COG0294	0.0	dairy	1.0	1.0	100000	False
COG0295	0.0	dairy	1.0	1.0	100000	False
COG0296	0.0	meat	1.0	1.0	100000	False
COG0297	0.0	meat	1.0	1.0	100000	False
COG0298	0.1428571428571428	meat	0.18534814651853482	1.0	100000	False
COG0299	0.0	dairy	1.0	1.0	100000	False
COG0300	0.0	dairy	1.0	1.0	100000	False
COG0301	0.0	dairy	1.0	1.0	100000	False
COG0302	0.0	meat	1.0	1.0	100000	False
COG0303	0.0	dairy	1.0	1.0	100000	False
COG0304	0.0	dairy	1.0	1.0	100000	False
COG0305	0.0	meat	1.0	1.0	100000	False
COG0306	0.0	meat	1.0	1.0	100000	False
COG0307	0.0	dairy	1.0	1.0	100000	False
COG0308	0.1428571428571428	meat	0.33876661233387667	1.0	100000	False
COG0309	0.1428571428571428	meat	0.22840771592284076	1.0	100000	False
COG0310	0.0	dairy	1.0	1.0	100000	False
COG0311	0.0	meat	1.0	1.0	100000	False
COG0312	0.0	meat	1.0	1.0	100000	False
COG0313	0.1428571428571428	meat	0.2837171628283717	1.0	100000	False
COG0315	0.0	meat	1.0	1.0	100000	False
COG0316	0.0	dairy	1.0	1.0	100000	False
COG0317	0.1428571428571428	dairy	0.1923880761192388	1.0	100000	False
COG0318	0.0	dairy	1.0	1.0	100000	False
COG0319	0.0	meat	1.0	1.0	100000	False
COG0320	0.1428571428571428	dairy	0.2059579404205958	1.0	100000	False
COG0321	0.2857142857142857	dairy	0.028799712002879972	1.0	100000	False
COG0322	0.1428571428571428	meat	0.3175268247317527	1.0	100000	False
COG0323	0.1428571428571428	dairy	0.2122578774212258	1.0	100000	False
COG0324	0.0	meat	1.0	1.0	100000	False
COG0325	0.1428571428571428	meat	0.3330266697333027	1.0	100000	False
COG0326	0.1428571428571428	dairy	0.24682753172468275	1.0	100000	False
COG0327	0.0	meat	1.0	1.0	100000	False
COG0328	0.0	meat	1.0	1.0	100000	False
COG0329	0.0	meat	1.0	1.0	100000	False
COG0330	0.0	meat	1.0	1.0	100000	False
COG0331	0.0	meat	1.0	1.0	100000	False
COG0332	0.1428571428571428	dairy	0.2079279207207928	1.0	100000	False
COG0333	0.0	meat	1.0	1.0	100000	False
COG0334	0.0	meat	1.0	1.0	100000	False
COG0335	0.0	meat	1.0	1.0	100000	False
COG0336	0.0	dairy	1.0	1.0	100000	False
COG0337	0.0	meat	1.0	1.0	100000	False
COG0338	0.0	dairy	1.0	1.0	100000	False
COG0339	0.0	dairy	1.0	1.0	100000	False
COG0340	0.0	meat	1.0	1.0	100000	False
COG0341	0.0	dairy	1.0	1.0	100000	False
COG0342	0.0	dairy	1.0	1.0	100000	False
COG0343	0.1428571428571428	meat	0.3073269267307327	1.0	100000	False
COG0344	0.0	meat	1.0	1.0	100000	False
COG0345	0.0	meat	1.0	1.0	100000	False
COG0346	0.1428571428571428	meat	0.18986810131898682	1.0	100000	False
COG0347	0.0	meat	1.0	1.0	100000	False
COG0348	0.0	meat	1.0	1.0	100000	False
COG0349	0.0	meat	1.0	1.0	100000	False
COG0350	0.0	meat	1.0	1.0	100000	False
COG0351	0.1428571428571428	meat	0.2637973620263797	1.0	100000	False
COG0352	0.0	meat	1.0	1.0	100000	False
COG0353	0.0	meat	1.0	1.0	100000	False
COG0354	0.1428571428571428	meat	0.2052079479205208	1.0	100000	False
COG0355	0.0	meat	1.0	1.0	100000	False
COG0356	0.0	meat	1.0	1.0	100000	False
COG0357	0.0	meat	1.0	1.0	100000	False
COG0358	0.0	meat	1.0	1.0	100000	False
COG0359	0.1428571428571428	meat	0.31117688823111767	1.0	100000	False
COG0360	0.1428571428571428	meat	0.25102748972510275	1.0	100000	False
COG0361	0.0	meat	1.0	1.0	100000	False
COG0362	0.1428571428571428	meat	0.37010629893701064	1.0	100000	False
COG0363	0.0	meat	1.0	1.0	100000	False
COG0364	0.1428571428571428	meat	0.2853771462285377	1.0	100000	False
COG0365	0.0	meat	1.0	1.0	100000	False
COG0366	0.1428571428571428	meat	0.3100568994310057	1.0	100000	False
COG0367	0.0	meat	1.0	1.0	100000	False
COG0368	0.0	dairy	1.0	1.0	100000	False
COG0369	0.0	meat	1.0	1.0	100000	False
COG0370	0.1428571428571428	dairy	0.27185728142718574	1.0	100000	False
COG0371	0.0	meat	1.0	1.0	100000	False
COG0372	0.0	meat	1.0	1.0	100000	False
COG0373	0.0	meat	1.0	1.0	100000	False
COG0374	0.0	meat	1.0	1.0	100000	False
COG0375	0.1428571428571428	meat	0.1927080729192708	1.0	100000	False
COG0376	0.0	meat	1.0	1.0	100000	False
COG0377	0.0	dairy	1.0	1.0	100000	False
COG0378	0.0	meat	1.0	1.0	100000	False
COG0379	0.2857142857142857	meat	0.012449875501244987	1.0	100000	False
COG0380	0.1428571428571428	dairy	0.20974790252097478	1.0	100000	False
COG0381	0.0	dairy	1.0	1.0	100000	False
COG0382	0.0	dairy	1.0	1.0	100000	False
COG0383	0.0	meat	1.0	1.0	100000	False
COG0384	0.0	dairy	1.0	1.0	100000	False
COG0385	0.1428571428571428	meat	0.2975570244297557	1.0	100000	False
COG0386	0.0	dairy	1.0	1.0	100000	False
COG0387	0.0	meat	1.0	1.0	100000	False
COG0388	0.0	dairy	1.0	1.0	100000	False
COG0389	0.0	meat	1.0	1.0	100000	False
